time,alpha1,alpha2,alpha3,beta1,K1,K2,K3,mu1,kappa2,kappa3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2012012012012012,0.005645609831381408,1.483630036219636e-11,0.04055897226922998,8.62072230562131e-12,2.1554322122389318e-08,2.0125709199380126e-11,0.03516954166877742,0.009923322264832984,3.2820838418944803e-11,0.9041395110687503
2.4024024024024024,0.022801509529816084,3.625454888123231e-11,0.038035816063656316,1.0026425455140021e-10,8.594655351576423e-08,2.1378094079343742e-10,0.03298497919232332,0.03239983090550231,2.2113623960818946e-10,0.86829365319825
3.6036036036036037,0.062135477486283966,1.1301329244811418e-10,0.04022993106053686,5.126081697046049e-10,2.6259806017163623e-07,8.487930033311758e-10,0.034040718201313894,0.07083278137261652,3.406431790402222e-10,0.7844008067278335
4.804804804804805,0.14609789386415595,4.093989440615626e-09,0.04573994058125922,2.720478454957471e-09,8.049893044979503e-07,2.3285851583519515e-09,0.03611810594604484,0.1322403861681451,6.123607691760781e-10,0.6249176889880278
6.006006006006006,0.2862925308505966,3.530750251424189e-08,0.052097102303029864,1.632650569397301e-08,2.4059507516792278e-06,1.0486889069059388e-08,0.035366800551439835,0.2050502096664293,1.1555901893582367e-08,0.3942087357446403
7.207207207207207,0.4355231065232451,1.4547478987192092e-07,0.057182655813501425,6.217317910123882e-08,6.295933829165226e-06,4.540027025605394e-08,0.02945217587502704,0.25053937984553937,6.970940795958492e-08,0.1828230230091415
8.408408408408409,0.5317756366175534,4.826563809732538e-07,0.06330647382889139,1.6379636565583256e-07,1.4192660023922212e-05,1.3638358625358615e-07,0.021459037778473557,0.25425448047235666,2.576236547384477e-07,0.06558690726351599
9.60960960960961,0.5738833759123019,2.506119098733388e-06,0.07374361215680862,5.993650986327475e-07,2.9027744502560606e-05,4.5723986192114315e-07,0.0146419637753853,0.23750146824431048,9.57492785337291e-07,0.019966685636182573
10.81081081081081,0.5889106168378972,1.1791177676048453e-05,0.08884604852812052,3.3804494179892107e-06,5.566419643350822e-05,2.1443209095501334e-06,0.009613453531220477,0.21834617798954276,2.9715527926300933e-06,0.005335782623258362
12.012012012012011,0.6009445016745295,3.362534241952691e-05,0.10559795189990452,1.4891966081348388e-05,0.00010152022179885606,9.389873004169282e-06,0.005992936880392846,0.20406543447516773,6.575162875658637e-06,0.0015981124764779253
13.213213213213214,0.6160394566797083,6.235845068114224e-05,0.11552014895336013,4.541985743046991e-05,0.00017630605449927788,3.277833520633814e-05,0.0032063542076871455,0.1960924572719328,1.0849397870872932e-05,0.0017736357382305925
14.414414414414415,0.5950839211724261,8.705193664638224e-05,0.10374076567894101,0.0001072614226492373,0.00031159520136345186,8.980359502986739e-05,0.0009564414509524753,0.19410403750868221,1.4097501359480706e-05,0.0035590463387013016
15.615615615615615,0.4526872156383818,0.00010284382504014172,0.05911337298970296,0.00022041724509362472,0.0005748699375841858,0.00019820578505722029,8.745748940903596e-05,0.1870469031459701,1.5838084816840322e-05,0.005815085495306676
16.816816816816818,0.1880863438902198,8.597672097074944e-05,0.02813693726317261,0.0003712984297677105,0.000833115693681932,0.0003364843923400902,0.0029120976199050186,0.1284262178424606,1.5279280790503584e-05,0.0059257141984916635
18.01801801801802,0.21683257714358628,2.6576483860419617e-05,0.14520206642452008,0.00032125531079028164,0.0005754158682408008,0.0003096381540234851,0.008426043406087807,0.030477156752570938,9.413390482585266e-06,0.0019918199377257713
19.21921921921922,0.4250355381931598,4.045622268178529e-06,0.28117629737791033,0.00015776055013790567,0.00018097060848959408,0.00017963647084479767,0.00997763123172692,0.0005004993104958849,4.039480390444146e-06,0.0010865374107361465
20.42042042042042,0.49801833578423077,7.820759871606562e-06,0.3430553141163756,6.57330837292024e-05,2.268423228011079e-05,0.00010272076494448528,0.00874709507304328,0.002362829725587298,1.2719807031305899e-06,0.003029429914360302
21.62162162162162,0.4755839565195519,1.630858875109553e-05,0.3582893795824211,2.5639338099632885e-05,6.745263756736123e-06,5.881687125903607e-05,0.006341954871754243,0.0046813961239546035,1.405877512195935e-06,0.006164027714245436
22.822822822822822,0.4038659456793777,3.0028617714885005e-05,0.34304939506504173,9.144680530878448e-06,0.00010890642797451766,2.8729597536051674e-05,0.0036629359763287682,0.002633038118137554,5.992587308001918e-06,0.011083213844329514
24.024024024024023,0.28268340350247323,4.7184138634959606e-05,0.276708209257814,1.5488452846653493e-06,0.00045304518666596096,7.222488789377616e-06,0.0009038894044879002,0.004996852597979182,2.70181537834841e-05,0.018328720068716137
25.225225225225223,0.19870199177642003,3.5184736428510194e-05,0.10213552548317474,3.4026253092000303e-06,0.000906485635131429,2.0001826219036604e-06,0.0008680953156504755,0.05968447050686401,9.570268544133096e-05,0.01657470984355516
26.426426426426428,0.37492541108529076,5.426470095508175e-06,0.049698740057112424,5.8367263495428805e-06,0.0004664674447568189,3.977896346614199e-06,0.004432097363895725,0.10676247234989969,0.00013491049256356325,0.002858259335346612
27.62762762762763,0.49629734164016137,1.0118883461778752e-05,0.09742858521943842,8.787327297815179e-07,0.00015264444058895807,9.463431525451918e-07,0.005287912851601256,0.10516053519809711,0.0001283815414023791,3.417857039716677e-05
28.82882882882883,0.5639368967064309,2.5087950941810392e-05,0.1299902237753554,3.0060314954965033e-06,4.060893296773123e-05,2.097109003174179e-06,0.004824922755879363,0.0998967812014741,0.0001131344538486246,0.0009660036709923499
30.03003003003003,0.6102799900455127,3.6123139530895735e-05,0.13969464317300131,1.7646038941576014e-05,7.113402169100033e-06,1.3065158379633128e-05,0.003782346144887139,0.0972983354708873,9.149451458490827e-05,0.001746560333350956
31.23123123123123,0.6223746266659911,4.286902496265397e-05,0.12601942587322884,4.561282418541541e-05,3.687472372007075e-07,3.794563586677535e-05,0.0022475402481259028,0.09706294734778587,6.318931080429638e-05,0.00176715079398518
32.432432432432435,0.5793621089274728,4.4721553402269e-05,0.0921433710614787,8.224388417985267e-05,1.2750142573470675e-05,7.316982887057529e-05,0.0008982439320842156,0.0959824031100836,3.3556478500337235e-05,0.001334685956724006
33.633633633633636,0.46795819889413776,3.743344743920539e-05,0.04938717849162244,0.00012191865461354658,7.297980771801806e-05,0.00010998211125980269,0.0001517949568263908,0.08994878037026525,1.0823185392030859e-05,0.0008483575783185654
34.83483483483484,0.3114847089123657,2.4847710377115246e-05,0.01810163284260618,0.00015572306389525427,0.00019522595786945266,0.000140056127374301,6.627272879119916e-05,0.07528945097482204,1.4086595342036576e-06,0.000546983432684957
36.03603603603604,0.19752177556605893,1.311854045234639e-05,0.01971452420342074,0.00016415847458491306,0.00032563684182237263,0.00015216556867354378,0.0006526862816760056,0.05126793817153337,9.01420280563756e-06,0.0008122205552192141
37.23723723723724,0.20898818398822752,6.855301785328765e-06,0.05771640258819678,0.00014100766816198078,0.00038309684197041096,0.00013822954121896433,0.0015893250837823935,0.025810552837696767,2.625356193587151e-05,0.0021247765378671576
38.43843843843844,0.3077210597646377,6.937592807657543e-06,0.11314822360137862,0.00010451856419072512,0.0003391374421904724,0.00010626205278936684,0.002339529969129742,0.009422693000972026,3.744805021047892e-05,0.0042479213892787976
39.63963963963964,0.3960383768957702,1.0882316411211329e-05,0.16204699814365844,6.796563017510454e-05,0.00023169859647979583,7.158063589226364e-05,0.0026384728553270477,0.0030661734626915454,3.258489200104494e-05,0.006017801348656488
40.84084084084084,0.415241595923394,1.4274769069851759e-05,0.18280860881314132,3.2914469693778124e-05,0.000115457331827419,4.170490619685265e-05,0.002178846094657833,0.0020866117077377564,1.2892048466631207e-05,0.005943202729460367
42.04204204204204,0.3476647699675027,1.1479238364227693e-05,0.1505605636336637,8.072816056875114e-06,2.775416274970536e-05,1.811094613960516e-05,0.0008576525737416036,0.005136644536459901,4.846529255208034e-07,0.0035058546086531033
43.24324324324324,0.2585846493604288,4.051885257248577e-06,0.07821357326015377,1.3869486765250325e-06,3.965632855108151e-06,4.392364128897054e-06,2.8795098105224656e-05,0.015685205812814015,3.415817900208974e-05,0.0010422068782768507
44.44444444444444,0.2793764899963102,6.325542755348917e-06,0.03946009666334399,1.1732279348651041e-06,2.5955399668306383e-05,1.4754125571102043e-06,0.0004323534429719193,0.03142042808300957,0.00010692392452649455,0.0013100821423031484
45.645645645645644,0.3776169869956017,1.657450267857226e-05,0.048431762204620386,8.696164249146098e-07,4.5005029732345804e-05,2.257416301357494e-06,0.0011917663621223288,0.044666915575734684,0.0001565170971467793,0.002638150895086472
46.846846846846844,0.4674597534221675,2.5364934791490867e-05,0.06590110382034005,4.544926986589334e-06,6.503281259716336e-05,6.477642530190586e-06,0.001399841664232483,0.05404829480307604,0.00015099286600064337,0.0028482410017230753
48.048048048048045,0.5160197618821133,3.329984291538377e-05,0.07013559319481888,1.7781943011447187e-05,7.924731210967516e-05,1.7947920059471125e-05,0.000981267998234868,0.05988126370494192,0.00011208228578239717,0.0020049788189710504
49.249249249249246,0.5164085893400849,3.797624043583885e-05,0.0582461796342318,3.838764906438532e-05,6.183387451956746e-05,3.418325279079223e-05,0.0004800563220404519,0.06175719225870925,6.59576960985397e-05,0.001004152956956107
50.45045045045045,0.4724647794923546,3.301778991307348e-05,0.03756197909447711,6.052738866610456e-05,1.6884346255637345e-05,4.961501509612257e-05,0.0001613932961036594,0.06027367159184119,2.8508835887937933e-05,0.0004066162726842798
51.651651651651655,0.3968221642930693,2.2047991906005778e-05,0.018225198800067108,7.829519217674798e-05,4.3446997436459004e-06,6.27140202201346e-05,2.3079105835514672e-05,0.05652127576798588,7.235495351579169e-06,0.00027113060732290135
52.852852852852855,0.31035044300855485,1.2191364623346689e-05,0.007181589733407775,8.716153481311205e-05,4.627098192136763e-05,7.311086868430764e-05,1.1927077199690997e-05,0.05133832018058505,8.681312170793123e-07,0.0004458139042700373
54.054054054054056,0.2353489421277262,6.598346214738994e-06,0.006379733176524555,8.292808163649836e-05,0.00010638504804294948,7.781546260308782e-05,7.431296044879065e-05,0.04540069312656634,4.239477324530686e-06,0.0008101888212350327
55.25525525525526,0.18759645426234095,5.499951296393898e-06,0.012184622345358808,6.563478553341424e-05,0.00014875834197584716,7.451533488745963e-05,0.0001347838587647621,0.039147687027347826,9.59459013430718e-06,0.0012230412643924862
56.45645645645646,0.16924956318291184,6.336464449762046e-06,0.01867230657448543,4.360142928050133e-05,0.0001489399404744407,6.329154165699081e-05,0.0001169091406244738,0.03362213456946694,9.08075351805067e-06,0.001457045334971016
57.65765765765766,0.16633176333341296,5.36555518929363e-06,0.020513002948748492,2.8460857047340607e-05,9.93477414115627e-05,4.6928442554216515e-05,5.76909447884877e-05,0.03039371037621222,3.6691068362590087e-06,0.0012322472031405381
58.85885885885886,0.1643005715071033,2.567910394907226e-06,0.01595136577075104,2.354104026495489e-05,3.274894907698757e-05,3.126589240506856e-05,2.7356820007895774e-05,0.029798088910359146,1.7160205461626233e-06,0.0006491820075137613
